model,role,task,run,found,total,false_positives,latency_s,input_tokens,output_tokens,cost,pi_status,thinking,minor_found,minor_total
openai-codex/gpt-5.6-sol,test,test-defects,3,5,5,0,84,28125,2591,0.172275,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-defects,1,4,5,0,41,34288,1215,0.131858,0,low,2,2
openai-codex/gpt-5.6-sol,test,test-integration,2,0,0,0,43,34150,1262,0.132578,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-integration,3,0,0,0,40,40597,1277,0.135311,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-no-test,2,0,0,0,16,17806,400,0.080294,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-no-test,3,0,0,0,23,23696,466,0.111724,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-python-defects,1,4,5,0,105,40174,4062,0.237482,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-python-clean,1,0,0,1,103,38657,3806,0.226825,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-typescript-defects,1,5,5,0,151,51590,6028,0.279814,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-typescript-clean,1,0,0,2,116,51674,3864,0.240658,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-python-defects,2,4,5,0,92,32586,3512,0.208386,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-python-clean,2,0,0,0,65,41553,2295,0.195975,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-typescript-defects,2,5,5,1,101,59716,3400,0.230084,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-typescript-clean,2,0,0,2,167,65249,5762,0.340129,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-python-defects,3,4,5,0,104,51568,4091,0.242330,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-python-clean,3,0,0,0,112,34252,4070,0.219632,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-typescript-defects,3,5,5,0,92,51530,3358,0.197110,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-typescript-clean,3,0,0,1,143,57550,4976,0.298790,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-python-defects,1,4,5,1,62,32315,2107,0.155665,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-python-clean,1,0,0,1,73,33471,2391,0.188397,0,medium,0,0
openai-codex/gpt-5.6-sol,test,test-typescript-defects,1,5,5,0,80,39294,2478,0.162522,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-typescript-clean,1,0,0,1,85,47842,2492,0.161906,0,medium,0,0
openai-codex/gpt-5.6-sol,test,test-python-defects,2,4,5,0,55,41419,1966,0.146267,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-python-clean,2,0,0,0,53,39922,1457,0.158072,0,medium,0,0
openai-codex/gpt-5.6-sol,test,test-typescript-defects,2,5,5,0,74,38613,2937,0.225879,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-typescript-clean,2,0,0,2,63,43243,1796,0.175631,0,medium,0,0
openai-codex/gpt-5.6-sol,test,test-python-defects,3,4,5,1,67,32808,2304,0.173256,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-python-clean,3,0,0,0,60,35076,2024,0.141636,0,medium,0,0
openai-codex/gpt-5.6-sol,test,test-typescript-defects,3,5,5,0,75,38625,2587,0.162447,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-typescript-clean,3,0,0,1,74,40875,2050,0.196755,0,medium,0,0
ollama-cloud/deepseek-v4-flash:0731,test,test-python-defects,1,4,5,1,57,85069,11272,0.015066,0,high,2,2
ollama-cloud/deepseek-v4-flash:0731,test,test-python-clean,1,0,0,1,34,57697,6130,0.009794,0,high,0,0
ollama-cloud/deepseek-v4-flash:0731,test,test-typescript-defects,1,1,5,1,47,87984,8067,0.014577,0,high,2,2
ollama-cloud/deepseek-v4-flash:0731,test,test-typescript-clean,1,0,0,2,61,55508,10985,0.010847,0,high,0,0
ollama-cloud/deepseek-v4-pro:0813,test,test-python-defects,1,3,5,1,38,64793,6744,0.000000,0,high,2,2
ollama-cloud/deepseek-v4-pro:0813,test,test-python-clean,1,0,0,1,34,33865,5689,0.000000,0,high,0,0
ollama-cloud/deepseek-v4-pro:0813,test,test-typescript-defects,1,4,5,0,120,74433,10777,0.000000,0,high,2,2
ollama-cloud/deepseek-v4-pro:0813,test,test-typescript-clean,1,0,0,1,51,65302,8379,0.000000,0,high,0,0
